stt,hazard-category,product-category,hazard,product
0,biological,"meat, egg and dairy products",listeria monocytogenes,ground beef
1,biological,"meat, egg and dairy products",listeria monocytogenes,ground beef
2,biological,prepared dishes and snacks,listeria monocytogenes,ground beef
3,biological,"meat, egg and dairy products",listeria monocytogenes,ice cream
4,foreign bodies,ices and desserts,listeria monocytogenes,ice cream
5,biological,non-alcoholic beverages,milk and products thereof,cakes
6,biological,"meat, egg and dairy products",metal fragment,cakes
7,biological,"meat, egg and dairy products",listeria monocytogenes,ready to eat - cook meals
8,foreign bodies,"soups, broths, sauces and condiments",listeria monocytogenes,ready to eat - cook meals
9,biological,seafood,listeria monocytogenes,Fishes not identified
10,biological,"meat, egg and dairy products",escherichia coli,ground beef
11,biological,prepared dishes and snacks,plastic fragment,ground beef
12,fraud,ices and desserts,listeria monocytogenes,ice cream
13,biological,ices and desserts,listeria monocytogenes,ice cream
14,chemical,fats and oils,salmonella,ice cream
15,foreign bodies,cereals and bakery products,listeria monocytogenes,cakes
16,allergens,prepared dishes and snacks,listeria monocytogenes,ground beef
17,chemical,alcoholic beverages,listeria monocytogenes,beer
18,chemical,seafood,listeria monocytogenes,ready to eat - cook meals
19,biological,cereals and bakery products,plastic fragment,cakes
20,foreign bodies,"soups, broths, sauces and condiments",listeria monocytogenes,ready to eat - cook meals
21,allergens,"soups, broths, sauces and condiments",milk and products thereof,soup
22,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
23,foreign bodies,"soups, broths, sauces and condiments",listeria monocytogenes,soup
24,allergens,"soups, broths, sauces and condiments",metal fragment,chicken based products
25,allergens,"soups, broths, sauces and condiments",listeria monocytogenes,ready to eat - cook meals
26,fraud,cereals and bakery products,milk and products thereof,cakes
27,biological,"meat, egg and dairy products",listeria monocytogenes,sausage
28,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,chocolate bars
29,foreign bodies,alcoholic beverages,salmonella,cakes
30,organoleptic aspects,ices and desserts,listeria monocytogenes,cheese
31,fraud,prepared dishes and snacks,milk and products thereof,ready to eat - cook meals
32,allergens,ices and desserts,milk and products thereof,ice cream
33,foreign bodies,"meat, egg and dairy products",listeria monocytogenes,chicken based products
34,biological,"meat, egg and dairy products",plastic fragment,cheese
35,foreign bodies,"dietetic foods, food supplements, fortified foods",salmonella,baby food
36,allergens,confectionery,milk and products thereof,milk chocolates
37,fraud,cereals and bakery products,salmonella,cakes
38,fraud,cereals and bakery products,milk and products thereof,cakes
39,allergens,herbs and spices,salmonella,curry
40,allergens,cereals and bakery products,milk and products thereof,bread
41,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
42,allergens,cereals and bakery products,milk and products thereof,ice cream
43,fraud,"meat, egg and dairy products",listeria monocytogenes,ready to eat - cook meals
44,allergens,herbs and spices,salmonella,cakes
45,foreign bodies,seafood,peanuts and products thereof,biscuits
46,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
47,allergens,ices and desserts,peanuts and products thereof,ice cream
48,biological,fruits and vegetables,salmonella,onions
49,chemical,"meat, egg and dairy products",salmonella,other not classified meat products
50,foreign bodies,"meat, egg and dairy products",listeria monocytogenes,ready to eat - cook meals
51,biological,"meat, egg and dairy products",listeria monocytogenes,sausage
52,foreign bodies,cereals and bakery products,salmonella,cakes
53,biological,non-alcoholic beverages,salmonella,cakes
54,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
55,other hazard,cereals and bakery products,unauthorised substance ethylene oxide,ice cream
56,biological,non-alcoholic beverages,escherichia coli,ice cream
57,biological,"meat, egg and dairy products",listeria monocytogenes,beef products
58,fraud,alcoholic beverages,listeria monocytogenes,ready to eat - cook meals
59,other hazard,"meat, egg and dairy products",metal fragment,yoghurt
60,biological,"meat, egg and dairy products",listeria monocytogenes,sausage
61,biological,"meat, egg and dairy products",salmonella,cakes
62,foreign bodies,prepared dishes and snacks,milk and products thereof,potato chips
63,biological,"nuts, nut products and seeds",salmonella,peanuts
64,allergens,"soups, broths, sauces and condiments",salmonella,sauce
65,biological,ices and desserts,salmonella,ice cream
66,biological,ices and desserts,salmonella,ice cream
67,biological,ices and desserts,salmonella,ice cream
68,biological,ices and desserts,salmonella,ice cream
69,biological,ices and desserts,salmonella,ice cream
70,biological,ices and desserts,salmonella,ice cream
71,biological,ices and desserts,salmonella,ice cream
72,biological,"meat, egg and dairy products",listeria monocytogenes,cakes
73,biological,ices and desserts,salmonella,ice cream
74,biological,ices and desserts,salmonella,ice cream
75,fraud,cereals and bakery products,cereals containing gluten and products thereof,cakes
76,biological,confectionery,salmonella,ice cream
